taxon,n_species,collessI,sackinI,gamma,temp_mean,temp_sd,temp_skewness,temp_kurtosis,bs_mean,bs_sd,bs_skewness,bs_kurtosis,rs_mean,rs_sd,rs_skewness,rs_kurtosis,bodysize_MRDa_cor,bodysize_MRDn_cor,bodysize_MRDs_cor,bodysize_ED_cor,bodysize_ES_cor,bodysize_DR_cor,temp_MRDa_cor,temp_MRDn_cor,temp_MRDs_cor,temp_ED_cor,temp_ES_cor,temp_DR_cor,temp_max_MRDa_cor,temp_max_MRDn_cor,temp_max_MRDs_cor,temp_max_ED_cor,temp_max_ES_cor,temp_max_DR_cor,rangesize_MRDa_cor,rangesize_MRDn_cor,rangesize_MRDs_cor,rangesize_ED_cor,rangesize_ES_cor,rangesize_DR_cor,bodysize_temp_cor,bodysize_tempmax_cor,bodysize_rangesize_cor,rangesize_temp_cor,rangesize_tempmax_cor,bodysize_MRDa_cor_p,bodysize_MRDn_cor_p,bodysize_MRDs_cor_p,bodysize_ED_cor_p,bodysize_ES_cor_p,bodysize_DR_cor_p,temp_MRDa_cor_p,temp_MRDn_cor_p,temp_MRDs_cor_p,temp_ED_cor_p,temp_ES_cor_p,temp_DR_cor_p,temp_max_MRDa_cor_p,temp_max_MRDn_cor_p,temp_max_MRDs_cor_p,temp_max_ED_cor_p,temp_max_ES_cor_p,temp_max_DR_cor_p,rangesize_MRDa_cor_p,rangesize_MRDn_cor_p,rangesize_MRDs_cor_p,rangesize_ED_cor_p,rangesize_ES_cor_p,rangesize_DR_cor_p,bodysize_temp_cor_p,bodysize_tempmax_cor_p,bodysize_rangesize_cor_p,rangesize_temp_cor_p,rangesize_tempmax_cor_p,richness_mean,richness_max,richness_median,richness_sd,richness_skewness,richness_kurtosis,richness_lat_cor,richness_temp0mya_cor,lat_pd_cor,lat_mpd_cor,lat_mntd_cor,temp_pd_cor,temp_mpd_cor,temp_mntd_cor,richness_pd_cor,richness_mpd_cor,richness_mntd_cor,lat_pd_cor_p,lat_mpd_cor_p,lat_mntd_cor_p,temp_pd_cor_p,temp_mpd_cor_p,temp_mntd_cor_p,richness_pd_cor_p,richness_mpd_cor_p,richness_mntd_cor_p,lat_bsm_cor,lat_bssd_cor,temp_bsm_cor,temp_bssd_cor,richness_bsm_cor,richness_bssd_cor,pd_bsm_cor,mpd_bsm_cor,mntd_bsm_cor,pd_bssd_cor,mpd_bssd_cor,mntd_bssd_cor,lat_bsm_cor_p,lat_bssd_cor_p,temp_bsm_cor_p,temp_bssd_cor_p,richness_bsm_cor_p,richness_bssd_cor_p,pd_bsm_cor_p,mpd_bsm_cor_p,mntd_bsm_cor_p,pd_bssd_cor_p,mpd_bssd_cor_p,mntd_bssd_cor_p,class
anguimorpha,215,1.554874888,1.500389243,3.509149306,223.8342425,37.72122627,-1.300558621,5.425877628,856.6782385,741.4410669,2.167210177,8.86635179,50.25581395,159.7554926,5.948607677,45.6125819,-0.531564988,-0.501070949,-0.501070949,-0.360383278,-0.308630032,0.360383278,-0.291739951,-0.245028075,-0.245028075,-0.294921877,-0.251834728,0.294921877,-0.417628531,-0.39007917,-0.39007917,-0.343752601,-0.289028751,0.343752601,-0.329116826,-0.307002583,-0.307002583,-0.16363918,-0.123106522,0.16363918,0.205097739,0.474733396,0.501135791,-0.031002394,0.403780884,6.22E-17,6.12E-15,6.12E-15,6.25E-08,4.42E-06,6.25E-08,1.51E-05,0.000305944,0.000305944,1.21E-05,0.000204159,1.21E-05,2.13E-10,3.75E-09,3.75E-09,2.67E-07,1.83E-05,2.67E-07,8.99E-07,5.00E-06,5.00E-06,0.016833847,0.072983465,0.016833847,0.002632079,2.27E-13,6.07E-15,0.652774825,9.30E-10,0.798953605,11,0,1.365991595,3.063031995,15.47211459,-0.477079766,0.562591251,0.363445168,0.362732231,0.374054381,-0.381780444,-0.381342387,-0.389537962,-0.665726698,-0.663644405,-0.700626605,0,0,0,0,0,0,0,0,0,-0.517110435,0.009826676,0.239009693,0.225459555,-0.514590321,0.549458521,0.428713675,0.429308512,0.377934976,-0.352640564,-0.35392356,-0.352300366,2.02E-166,0.628124607,6.15E-33,2.11E-29,1.50E-164,6.69E-192,2.58E-109,1.21E-109,2.01E-83,3.88E-72,1.10E-72,5.42E-72,squamate
gekkota,1581,3.297835318,2.595473739,-6.667137851,229.7362033,43.0719263,-1.852513102,7.829786554,181.3912327,87.48740831,1.632705192,8.329940608,25.19924099,85.30323513,6.740272207,63.03750563,-0.043651895,0.002869984,0.002869984,-0.186526989,-0.181246265,0.186526989,0.12545921,0.098509118,0.098509118,-0.143594903,-0.131374015,0.143594903,0.049420756,0.028848412,0.028848412,-0.118505195,-0.105166569,0.118505195,-0.147286312,-0.133584048,-0.133584048,0.071528495,0.071742546,-0.071528495,-0.012002488,0.027057166,0.089681973,-0.168558121,0.19966629,0.082814851,0.909246077,0.909246077,7.77E-14,3.90E-13,7.77E-14,5.65E-07,8.78E-05,8.78E-05,9.87E-09,1.60E-07,9.87E-09,0.049520621,0.251781633,0.251781633,2.32E-06,2.81E-05,2.32E-06,4.05E-09,9.85E-08,9.85E-08,0.004446787,0.004329092,0.004446787,0.633555077,0.282443377,0.000358127,1.55E-11,1.14E-15,2.893590829,29,1,4.569626833,2.359303416,9.170489921,-0.716550874,0.730371631,0.460748203,0.457355491,0.445730037,-0.500038408,-0.489198991,-0.501839058,-0.759507244,-0.749521357,-0.743565933,0,0,0,0,0,0,0,0,0,-0.01687111,-0.252352891,0.217385404,0.373589429,0.112008503,0.287913722,-0.0479866,-0.007255056,-0.093528619,0.322923984,0.38077792,0.290099753,0.202031365,8.31E-84,3.78E-62,6.36E-189,1.96E-17,1.32E-109,0.00028281,0.583285409,1.36E-12,5.95E-139,8.81E-197,2.54E-111,squamate
iguania,1731,1.224006139,1.0363569,-0.822658856,201.9751553,62.4615757,-1.231547424,3.701328819,291.7172067,194.9237183,3.959985389,26.3976109,26.08896592,84.34834289,6.622030235,57.63070043,-0.203613505,-0.186067125,-0.186067125,-0.157505124,-0.152378688,0.157505124,-0.022348951,-0.058761734,-0.058761734,0.513148691,0.486677185,-0.513148691,-0.036824537,-0.072509401,-0.072509401,0.485287105,0.461039628,-0.485287105,-0.014497749,-0.027821191,-0.027821191,0.023425412,0.026172214,-0.023425412,0.039675331,0.146345061,0.239113961,0.019515462,0.331729249,1.26E-17,6.33E-15,6.33E-15,4.59E-11,1.93E-10,4.59E-11,0.353162719,0.01456481,0.01456481,1.08E-116,1.93E-103,1.08E-116,0.125972539,0.002561767,0.002561767,8.90E-103,1.14E-91,8.90E-103,0.547003966,0.247725316,0.247725316,0.330451431,0.276878849,0.330451431,0.099203324,9.84E-10,6.83E-24,0.417519201,1.16E-45,3.359236747,30,2,4.212770999,1.400093528,4.524543939,-0.744833641,0.682715217,0.572718646,0.561542882,0.549339582,-0.484029548,-0.474191694,-0.467376746,-0.861702057,-0.854563678,-0.810349562,0,0,0,0,0,0,0,0,0,-0.382250704,-0.29995131,0.495588883,0.409882164,-0.064983754,0.357760002,0.389878547,0.40466445,0.401316107,-0.084869252,-0.114393966,0.193820465,5.28E-238,6.92E-143,0,8.87E-277,6.96E-08,1.22E-206,2.44E-248,3.60E-269,2.33E-264,1.82E-12,1.85E-21,3.67E-59,squamate
lacertoidea,885,1.740908847,1.583308847,0.052280831,208.8515624,54.03805004,-1.215006033,4.029603768,412.5574077,424.3460656,2.650703532,11.34153084,45.36723164,134.149827,5.750224763,43.37119109,0.134934741,0.072427604,0.072427604,-0.179746178,-0.151220339,0.179746178,-0.064492286,-0.02388056,-0.02388056,0.037816687,0.038777323,-0.037816687,-0.116349042,-0.057470236,-0.057470236,0.110729806,0.110351261,-0.110729806,-0.146919828,-0.13558945,-0.13558945,0.252432561,0.244864547,-0.252432561,0.07580729,0.040297596,-0.044320262,-0.060151051,0.271307884,5.76E-05,0.031398362,0.031398362,7.55E-08,6.39E-06,7.55E-08,0.055404753,0.478501826,0.478501826,0.261630997,0.249698873,0.261630997,0.000531766,0.087870786,0.087870786,0.000981243,0.001021586,0.000981243,1.17E-05,5.30E-05,5.30E-05,2.65E-14,1.60E-13,2.65E-14,0.024278781,0.231600787,0.188250723,0.074019415,2.31E-16,3.022005078,29,1,4.752360112,2.399090556,8.912593412,-0.472366966,0.489216436,0.328823289,0.379311445,0.307406709,-0.408674465,-0.435407658,-0.385374899,-0.878179996,-0.906283436,-0.836930201,0,0,1.75E-282,0,0,0,0,0,0,-0.216679833,-0.341439796,-0.018471057,0.146730532,0.401012303,0.537089836,0.343489151,0.103229957,0.400029543,0.226766463,-0.046863869,0.352086945,6.99E-65,3.32E-164,0.151900678,2.54E-30,2.19E-231,0,2.76E-166,9.86E-16,3.69E-230,4.77E-71,0.000275783,3.47E-175,squamate
scincoidea,1693,6.224403022,5.583834826,-4.329559766,224.847791,44.38985152,-2.208486509,13.99559942,255.9932627,140.0416989,2.411241613,12.54159917,25.38216184,72.31684185,5.815736667,46.49196315,-0.309792676,-0.346554209,-0.346554209,0.174491555,0.160921732,-0.174491555,0.073565247,0.107858691,0.107858691,-0.01611373,0.002741193,0.01611373,0.085289635,0.113077025,0.113077025,-0.02312738,-0.005404438,0.02312738,0.046006557,0.044264891,0.044264891,-0.003046033,0.003268947,0.003046033,-0.179120125,-0.074074611,0.194462167,-0.149227683,0.242047745,9.26E-39,1.11E-48,1.11E-48,5.66E-13,3.13E-11,5.66E-13,0.002529258,9.23E-06,9.23E-06,0.508864009,0.910528138,0.508864009,0.000460501,3.31E-06,3.31E-06,0.34302338,0.824663725,0.34302338,0.059162005,0.069450099,0.069450099,0.900627189,0.893396838,0.900627189,1.33E-13,0.002359618,8.37E-16,7.66E-10,7.30E-24,3.117180888,49,1,5.689693949,2.970993375,12.94597479,-0.701545211,0.687242603,0.564251325,0.48404236,0.592300433,-0.577333771,-0.521120921,-0.595423166,-0.783067466,-0.646585984,-0.831104244,0,0,0,0,0,0,0,0,0,-0.110527255,0.099143206,0.240907047,-0.069264801,-0.232158534,0.553919709,0.405143033,0.398776007,0.35303299,0.02066004,0.093169753,-0.043215869,2.34E-16,1.93E-13,3.70E-73,2.88E-07,6.26E-68,0,1.84E-215,3.38E-208,1.70E-160,0.12631484,4.89E-12,0.001378904,squamate
serpentes,3385,9.542807564,8.763421215,3.117161649,224.1080044,41.45425041,-1.674048615,6.934960224,756.7680935,9065.239724,27.69948562,880.0368797,76.56514032,174.3429746,3.852159009,20.49041114,0.069428594,0.106125388,0.106125388,-0.019007536,-0.023960013,0.019007536,-0.15724093,-0.150878086,-0.150878086,0.066863014,0.062431144,-0.066863014,-0.113831603,-0.096651011,-0.096651011,0.074586941,0.070154119,-0.074586941,0.04968283,0.067384665,0.067384665,0.013356324,0.011983454,-0.013356324,-0.136426076,0.122703372,0.405486591,-0.136292809,0.402786365,5.28E-05,6.03E-10,6.03E-10,0.268915206,0.16340918,0.268915206,3.50E-20,1.09E-18,1.09E-18,9.90E-05,0.000278526,9.90E-05,3.10E-11,1.76E-08,1.76E-08,1.40E-05,4.40E-05,1.40E-05,0.003836488,8.73E-05,8.73E-05,0.437259894,0.485819137,0.437259894,1.56E-15,7.87E-13,3.73E-134,1.67E-15,3.10E-132,19.31191813,115,7,27.32973464,1.736914025,5.109921012,-0.779118421,0.702683474,0.597708619,0.511171668,0.612701369,-0.498772697,-0.38924089,-0.531868259,-0.8367628,-0.754610121,-0.835392112,0,0,0,0,0,0,0,0,0,-0.525713935,-0.59318945,0.390043933,0.419937511,0.645522126,0.73001622,-0.359141754,-0.332038208,-0.339473283,-0.402021004,-0.376143343,-0.383620484,0,0,4.2371377096177e-316,0,0,0,7.45E-265,2.27E-224,4.47E-235,0,2.36E-292,5.54E-305,squamate
afrosoricida,55,0.48314379,0.303684667,2.103735937,206.600052,26.1316468,-0.270441379,2.769569367,76.35636364,153.8481247,3.810227686,17.73069521,24.05454545,48.02368944,6.127616854,42.59029286,-0.603565918,-0.595892555,-0.595892555,0.051757108,0.070085871,-0.051757108,0.080325565,0.117471898,0.117471898,0.380425762,0.326447772,-0.380425762,0.074068755,0.109975846,0.109975846,0.418909926,0.36518447,-0.418909926,-0.040786844,-0.03835038,-0.03835038,0.263005953,0.274345997,-0.263005953,-0.186270973,-0.204026227,0.103541101,0.230312321,0.479601394,1.07E-06,1.59E-06,1.59E-06,0.707454994,0.611132065,0.707454994,0.559912934,0.393023304,0.393023304,0.004168873,0.014997419,0.004168873,0.590970108,0.42411763,0.42411763,0.001456824,0.006116741,0.001456824,0.767490759,0.781024931,0.781024931,0.052378678,0.042668035,0.052378678,0.173310286,0.135146677,0.451889106,0.090715556,0.000211471,0.093405741,21,0,0.85069511,18.56149615,401.0258685,-0.25078667,0.125971898,-0.028767502,-0.028706869,-0.046764636,-0.001071291,-0.001084631,0.013795775,-0.143571941,-0.143581251,-0.024184512,0.00108904,0.001115831,1.09E-07,0.903202839,0.902003614,0.117298529,2.50E-60,2.46E-60,0.00603446,-0.701190842,-0.780041698,0.631561751,0.704035158,-0.384124217,-0.418842723,0.672007608,0.69582119,0.661672646,0.847699825,0.839401508,0.848325992,8.38E-28,6.98E-38,2.58E-21,4.15E-28,1.11E-07,5.38E-09,7.20E-25,3.09E-27,6.58E-24,1.30E-50,9.65E-49,9.30E-51,mammal
carnivora,284,1.159422071,0.969664514,2.33786083,167.4655937,103.5892232,-1.548351775,5.128036477,38707.05775,129787.2721,7.89377522,83.07292054,673.9260563,916.9060386,3.133254676,16.94499742,-0.334914058,-0.331849637,-0.331849637,-0.067879816,-0.05659441,0.067879816,0.106186553,0.034979012,0.034979012,0.104105479,0.103165114,-0.104105479,0.095644287,-0.007858893,-0.007858893,0.097370155,0.129129058,-0.097370155,0.00200767,-0.002969182,-0.002969182,0.01258133,0.034950117,-0.01258133,-0.283589233,-0.133834405,0.299718446,-0.356840174,0.227868231,7.16E-09,9.99E-09,9.99E-09,0.254202394,0.341959091,0.254202394,0.073994097,0.557165648,0.557165648,0.079869954,0.082646029,0.079869954,0.10774612,0.895096333,0.895096333,0.101511972,0.029582142,0.101511972,0.973128603,0.96026824,0.96026824,0.83281112,0.557491574,0.83281112,1.18E-06,0.024093995,2.64E-07,5.94E-10,0.00010695,12.1,40,13,6.907713819,0.094493734,2.800847152,-0.404285852,0.279297177,-0.010393058,-0.228121413,0.039795614,0.084423674,0.298684168,-0.002085774,-0.39159145,-0.397300172,-0.301168194,0.23804626,8.41E-152,6.20E-06,7.90E-22,7.17E-264,0.812824509,0,0,1.86E-268,0.656626111,0.694945543,-0.652586166,-0.717330008,-0.224713798,-0.176948837,-0.075670381,-0.274892613,-0.062160706,-0.083994226,-0.378069821,-0.005515435,0,0,0,0,1.88E-130,7.75E-81,5.96E-16,9.14E-197,3.08E-11,2.63E-19,0,0.555977214,mammal
cetartiodactyla,325,4.741767877,4.018719883,3.791162617,175.515427,93.13283005,-1.146460091,3.560563527,2180362.062,13074886.07,11.03470262,144.0511344,2287.612308,5855.063117,3.208940129,12.72407902,0.037313463,-0.063051847,-0.063051847,0.161831119,0.126155883,-0.161831119,-0.093632745,-0.020920192,-0.020920192,0.012411896,-0.013846189,-0.012411896,0.04145102,0.071072648,0.071072648,-0.006139391,-0.027324881,0.006139391,0.165245893,0.072983331,0.072983331,0.045734137,0.042173149,-0.045734137,-0.270779277,0.033401828,0.468828654,-0.293844646,0.305730065,0.502654025,0.257032962,0.257032962,0.003438824,0.022927548,0.003438824,0.091952204,0.70711605,0.70711605,0.823609378,0.803619245,0.823609378,0.45644717,0.201263428,0.201263428,0.912207913,0.623567942,0.912207913,0.002807147,0.189382821,0.189382821,0.411226466,0.448633566,0.411226466,7.21E-07,0.548501336,3.65E-19,6.79E-08,1.85E-08,8.650193949,56,5,9.553901642,1.583454636,4.681534203,-0.351580451,0.243358213,-0.028478086,-0.018330061,0.142919751,0.047953901,0.036750811,-0.088925324,-0.551428312,-0.619738039,-0.472193049,0.001222503,0.03742836,8.59E-60,5.12E-08,3.00E-05,4.73E-24,0,0,0,0.40070965,0.288066222,-0.373704292,-0.27656155,0.496679276,0.57247546,-0.591033802,-0.650469354,-0.238298263,-0.585586587,-0.654451565,-0.247524614,0,1.62E-205,0,6.10E-189,0,0,0,0,2.31E-139,0,0,1.49E-150,mammal
chiroptera,1161,3.771039242,3.189996122,5.627133161,222.4004,47.76439431,-2.006746637,7.074865847,47.87533105,118.5213359,4.681254856,28.37711415,224.8647717,326.9163156,2.128623663,7.566446519,-0.209619337,-0.269782185,-0.269782185,-0.170496116,-0.152860261,0.170496116,-0.229359951,-0.214145495,-0.214145495,0.010123489,0.007051308,-0.010123489,-0.08581714,-0.102971435,-0.102971435,0.068249665,0.074445932,-0.068249665,0.095222532,0.039396097,0.039396097,0.151866362,0.162952092,-0.151866362,0.128049544,0.058659627,-0.049548922,-0.198797385,0.570963972,5.39E-13,8.24E-21,8.24E-21,5.04E-09,1.66E-07,5.04E-09,2.53E-15,1.65E-13,1.65E-13,0.730410563,0.810325164,0.730410563,0.003429802,0.000441151,0.000441151,0.020034095,0.011167321,0.020034095,0.00116036,0.179779022,0.179779022,2.00E-07,2.35E-08,2.00E-07,1.21E-05,0.045683744,0.091503278,8.22E-12,2.09E-101,18.60333592,125,8,25.13891401,1.924466536,6.291953655,-0.783038437,0.672799896,0.238492663,0.153940394,0.41150716,-0.163276152,-0.087281552,-0.310756336,-0.63096861,-0.551985841,-0.729288067,3.82E-166,3.46E-69,0,1.03E-77,3.16E-23,1.38E-286,0,0,0,-0.705839619,-0.655789264,0.581646495,0.50489465,0.619902954,0.70655256,0.256399223,0.326042656,-0.017130813,0.12268504,0.204827662,-0.126419292,0,0,0,0,0,0,6.18E-149,8.42E-245,0.08771299,1.24E-34,1.34E-94,1.10E-36,mammal
cingulata,21,-0.144305203,-0.272145981,0.360450418,204.6045509,49.82956702,-0.989034202,2.809660168,4784.842857,9572.997162,3.871160347,16.96130185,324.5238095,421.3644051,1.911039851,6.381772903,0.262541608,0.23257408,0.23257408,-0.180695492,-0.23009426,0.180695492,0.245523685,0.240313634,0.240313634,0.159194316,-0.004548409,-0.159194316,0.323097044,0.310029419,0.310029419,-0.127445023,-0.219361893,0.127445023,0.191205861,0.15863246,0.15863246,-0.203444925,-0.148196303,0.203444925,0.317635613,0.434996983,0.635152697,0.324131229,0.565658998,0.250243955,0.310331883,0.310331883,0.433138926,0.315665106,0.433138926,0.283376789,0.294040815,0.294040815,0.49065656,0.984388697,0.49065656,0.153117651,0.171399977,0.171399977,0.581964213,0.339378284,0.581964213,0.406390132,0.492208264,0.492208264,0.376417556,0.521463387,0.376417556,0.160584858,0.048753187,0.001977248,0.151731443,0.007526904,0.508921645,10,0,1.459662028,3.058952508,11.89009576,-0.350089366,0.265519032,-0.04598957,-0.313059699,-0.000424689,0.068581148,0.245654679,0.036792355,0.139044356,0.58299091,0.057951727,1.75E-07,4.81E-291,0.96154725,6.45E-15,1.82E-176,2.94E-05,1.16E-56,0,4.57E-11,-0.714755617,-0.53989953,0.439130063,0.305555186,0.043329939,0.052083986,-0.221110776,-0.085346828,-0.300690991,-0.42093163,-0.323787921,-0.450306215,1.23E-217,6.49E-106,1.46E-66,2.10E-31,0.106488319,0.052294329,7.64E-17,0.001453743,2.03E-30,9.29E-61,2.89E-35,2.64E-70,mammal
dasyuromorphia,73,0.520540573,0.572900241,-3.836744402,215.0775463,44.60438946,-0.914046539,3.265687582,346.7876712,1432.619886,6.40018269,45.42160572,61.43835616,80.41886634,2.531389103,10.35667957,0.062220371,0.186121504,0.186121504,-0.325447211,-0.246148863,0.325447211,-0.131743363,-0.145608825,-0.145608825,0.103743241,0.075620724,-0.103743241,-0.181057504,-0.180269953,-0.180269953,0.16737693,0.130878539,-0.16737693,-0.066151285,-0.092537868,-0.092537868,0.167529498,0.11639265,-0.167529498,-0.090083002,-0.154814795,-0.314755951,0.016433664,0.45910976,0.601014114,0.114890819,0.114890819,0.004961063,0.035798069,0.004961063,0.266551656,0.219006924,0.219006924,0.38242115,0.524865345,0.38242115,0.125286722,0.126965989,0.126965989,0.156953274,0.269731213,0.156953274,0.578175795,0.436173873,0.436173873,0.156570129,0.326773681,0.156570129,0.44849406,0.190938211,0.00668451,0.89024426,4.40E-05,0.326842514,12,0,1.435450344,4.672201875,24.90757084,-0.135860248,0.176021479,0.019394062,0.058232317,0.007525387,-0.005920068,-0.064756152,0.011900903,-0.101292793,-0.509144328,0.055822746,0.027673674,3.68E-11,0.392929088,0.501538842,1.85E-13,0.176671251,9.45E-31,0,2.27E-10,-0.108026086,-0.108406716,-0.12768293,-0.094256592,0.230603297,0.256133203,0.115264333,0.196431536,-0.021743284,0.162092781,0.234815891,0.022487119,0.003779153,0.00365736,0.000610248,0.011566035,4.15E-10,3.33E-12,0.001992551,1.14E-07,0.56105873,1.29E-05,1.94E-10,0.547733579,mammal
didelphimorphia,100,2.048961335,2.007244965,0.745887998,216.6340024,39.43281288,-1.464427308,4.519548047,178.0452127,334.3462505,3.346200322,16.50231148,143.57,206.3501122,2.223347237,7.582051258,-0.113768862,0.011193336,0.011193336,-0.218809728,-0.229407264,0.218809728,-0.130139966,-0.131481661,-0.131481661,0.080612303,0.084476701,-0.080612303,-0.214670844,-0.213646885,-0.213646885,0.165481026,0.139294279,-0.165481026,-0.14119635,-0.143872455,-0.143872455,0.138010716,0.119303197,-0.138010716,0.000276041,0.205455094,0.243556812,0.170045677,0.67725472,0.259721839,0.911989435,0.911989435,0.028730543,0.021679253,0.028730543,0.196865373,0.192248948,0.192248948,0.425284496,0.40335672,0.425284496,0.031969599,0.03281688,0.03281688,0.099893501,0.166916899,0.099893501,0.161141602,0.153269548,0.153269548,0.170899856,0.23710236,0.170899856,0.997825206,0.040300889,0.014612714,0.090756632,1.02E-14,1.065942591,26,0,3.213217872,3.461264302,15.21361635,-0.342805762,0.250697237,-0.125941817,-0.140636877,-0.128941921,0.094119384,0.107990692,0.094476876,0.154707252,0.19559186,0.175674185,9.99E-47,6.16E-58,6.51E-49,9.29E-27,9.59E-35,5.97E-27,7.23E-70,2.45E-111,7.44E-90,0.167066756,0.188182292,-0.240303528,-0.222184545,-0.322337565,-0.42606585,-0.424411091,-0.438324344,-0.399223351,-0.381636432,-0.388700525,-0.376528601,9.28E-11,2.65E-13,5.98E-21,4.58E-18,3.00E-37,1.50E-66,5.38E-66,9.28E-71,6.38E-58,1.10E-52,9.48E-55,3.19E-51,mammal
diprotodontia,139,2.923831688,2.278859646,2.649698742,220.1402247,39.18784818,-1.126908552,3.997102536,5312.661871,7049.768282,2.765880433,12.6336104,48.32374101,87.51846313,3.918697016,21.31168966,0.514222991,0.50676742,0.50676742,-0.600999844,-0.485873718,0.600999844,0.202859754,0.180629967,0.180629967,-0.230090592,-0.247502841,0.230090592,0.153396553,0.142383408,0.142383408,-0.154226652,-0.170113053,0.154226652,0.003716031,0.001894994,0.001894994,0.013496869,0.035223319,-0.013496869,0.079488643,0.087654362,0.100462812,-0.227999241,0.402741454,9.49E-11,1.95E-10,1.95E-10,5.20E-15,1.34E-09,5.20E-15,0.016618482,0.033345318,0.033345318,0.006432252,0.003308591,0.006432252,0.071408145,0.094515069,0.094515069,0.069870789,0.045272932,0.069870789,0.965370023,0.982336343,0.982336343,0.874696369,0.680592644,0.874696369,0.352284416,0.304856674,0.239306097,0.006945459,8.87E-07,0.452288596,26,0,2.284741737,6.581347109,51.61382426,-0.164785407,0.195476748,0.08713003,0.067181054,0.093561557,-0.130698878,-0.126106261,-0.125161715,-0.387144581,-0.391709901,-0.377181613,3.76E-23,2.25E-14,1.84E-26,3.23E-50,7.60E-47,3.62E-46,0,0,0,0.413003575,0.328935389,-0.010306525,0.075754775,-0.729726611,-0.603320773,-0.654794522,-0.674825117,-0.690896711,-0.572158868,-0.605158887,-0.529279586,1.45E-33,3.46E-21,0.773529708,0.034168127,6.41E-131,1.06E-78,6.30E-97,5.01E-105,5.27E-112,3.40E-69,2.69E-79,1.14E-57,mammal
